SQI,Label,SeasonKharif,SeasonRabi
0.77,Rice,1,0
0.84,Rice,1,0
0.85,Rice,1,0
0.8,Rice,1,0
0.81,Rice,1,0
0.78,Rice,1,0
0.79,Rice,1,0
0.8,Rice,1,0
0.76,Rice,1,0
0.73,Rice,1,0
0.79,Rice,1,0
0.81,Rice,1,0
0.79,Rice,1,0
0.81,Rice,1,0
0.81,Rice,1,0
0.79,Rice,1,0
0.84,Rice,1,0
0.84,Rice,1,0
0.87,Rice,1,0
0.84,Rice,1,0
0.84,Rice,1,0
0.81,Rice,1,0
0.83,Rice,1,0
0.77,Rice,1,0
0.81,Rice,1,0
0.78,Rice,1,0
0.7,Rice,1,0
0.76,Rice,1,0
0.67,Rice,1,0
0.69,Rice,1,0
0.66,Rice,1,0
0.69,Rice,1,0
0.65,Rice,1,0
0.69,Rice,1,0
0.64,Rice,1,0
0.66,Rice,1,0
0.65,Rice,1,0
0.64,Rice,1,0
0.64,Rice,1,0
0.64,Rice,1,0
0.66,Rice,1,0
0.7,Rice,1,0
0.7,Rice,1,0
0.67,Rice,1,0
